Age,male,female,male(not Thai),female(not Thai),Times,total (Thai),total (not Thai),total
0,361751,341173,19214,18148,2015-05-31,702924,37362,740286
1,375332,353923,17954,16998,2015-05-31,729255,34952,764207
2,406329,382873,14284,13178,2015-05-31,789202,27462,816664
3,411107,387323,8525,7851,2015-05-31,798430,16376,814806
4,386174,365656,5027,4742,2015-05-31,751830,9769,761599
5,395641,373553,3247,2970,2015-05-31,769194,6217,775411
6,400854,378186,3308,3089,2015-05-31,779040,6397,785437
7,404384,382150,3239,3040,2015-05-31,786534,6279,792813
8,411375,387811,2984,2800,2015-05-31,799186,5784,804970
9,408973,386160,2840,2650,2015-05-31,795133,5490,800623
10,416475,395054,3107,2948,2015-05-31,811529,6055,817584
11,410220,388275,3596,3339,2015-05-31,798495,6935,805430
12,404651,382649,2850,2644,2015-05-31,787300,5494,792794
13,406402,385145,2694,2498,2015-05-31,791547,5192,796739
14,421444,400159,2247,2067,2015-05-31,821603,4314,825917
15,433986,410874,1956,1967,2015-05-31,844860,3923,848783
16,436045,414329,2238,2153,2015-05-31,850374,4391,854765
17,490411,467183,2529,2322,2015-05-31,957594,4851,962445
18,506683,482783,2395,2307,2015-05-31,989466,4702,994168
19,500068,476863,1791,1802,2015-05-31,976931,3593,980524
20,493597,470667,1754,1712,2015-05-31,964264,3466,967730
21,483662,464702,1918,1887,2015-05-31,948364,3805,952169
22,486790,466626,1988,1865,2015-05-31,953416,3853,957269
23,495734,477086,1551,1504,2015-05-31,972820,3055,975875
24,488043,469656,1621,1593,2015-05-31,957699,3214,960913
25,471372,456112,1448,1472,2015-05-31,927484,2920,930404
26,463740,448697,1489,1533,2015-05-31,912437,3022,915459
27,441336,429923,1406,1321,2015-05-31,871259,2727,873986
28,458323,448796,1725,1651,2015-05-31,907119,3376,910495
29,477609,468016,1531,1638,2015-05-31,945625,3169,948794
30,488690,481410,1534,1678,2015-05-31,970100,3212,973312
31,486481,479677,1843,2148,2015-05-31,966158,3991,970149
32,508522,504171,1746,2053,2015-05-31,1012693,3799,1016492
33,521261,517728,1959,2278,2015-05-31,1038989,4237,1043226
34,519322,516871,2465,2899,2015-05-31,1036193,5364,1041557
35,524151,524317,2230,2491,2015-05-31,1048468,4721,1053189
36,516381,517394,2989,3333,2015-05-31,1033775,6322,1040097
37,511585,517669,2169,2298,2015-05-31,1029254,4467,1033721
38,538752,548760,2505,2807,2015-05-31,1087512,5312,1092824
39,511481,522473,2540,2626,2015-05-31,1033954,5166,1039120
40,524911,540929,2463,2667,2015-05-31,1065840,5130,1070970
41,518483,536236,3340,3218,2015-05-31,1054719,6558,1061277
42,510542,535575,2754,2725,2015-05-31,1046117,5479,1051596
43,526344,553002,2645,2521,2015-05-31,1079346,5166,1084512
44,538421,570446,2976,2954,2015-05-31,1108867,5930,1114797
45,511095,544252,2415,2380,2015-05-31,1055347,4795,1060142
46,515665,556016,3407,3297,2015-05-31,1071681,6704,1078385
47,523839,561433,2497,2055,2015-05-31,1085272,4552,1089824
48,484442,524062,2501,2179,2015-05-31,1008504,4680,1013184
49,502288,548115,2545,2161,2015-05-31,1050403,4706,1055109
50,493968,542531,2430,2016,2015-05-31,1036499,4446,1040945
51,470952,515747,2965,2455,2015-05-31,986699,5420,992119
52,454493,495301,2557,1980,2015-05-31,949794,4537,954331
53,448375,489073,2241,1611,2015-05-31,937448,3852,941300
54,419996,463140,2650,2077,2015-05-31,883136,4727,887863
55,423961,471889,2237,1525,2015-05-31,895850,3762,899612
56,390844,436341,2565,2136,2015-05-31,827185,4701,831886
57,361546,406852,2090,1487,2015-05-31,768398,3577,771975
58,342108,385759,2299,1568,2015-05-31,727867,3867,731734
59,331381,375023,2131,1423,2015-05-31,706404,3554,709958
60,323291,372387,1986,1305,2015-05-31,695678,3291,698969
61,294666,339844,2193,1476,2015-05-31,634510,3669,638179
62,288082,333601,2017,1191,2015-05-31,621683,3208,624891
63,272021,316085,1733,960,2015-05-31,588106,2693,590799
64,255092,299497,2019,1118,2015-05-31,554589,3137,557726
65,246961,291557,1795,829,2015-05-31,538518,2624,541142
66,223295,263064,2052,1089,2015-05-31,486359,3141,489500
67,199497,235358,1731,796,2015-05-31,434855,2527,437382
68,185668,221844,1702,811,2015-05-31,407512,2513,410025
69,162575,197076,1649,820,2015-05-31,359651,2469,362120
70,152800,184383,1597,783,2015-05-31,337183,2380,339563
71,148630,178651,1796,933,2015-05-31,327281,2729,330010
72,134011,166129,1600,910,2015-05-31,300140,2510,302650
73,137972,173070,1444,853,2015-05-31,311042,2297,313339
74,123945,156567,1475,971,2015-05-31,280512,2446,282958
75,115046,149818,1385,835,2015-05-31,264864,2220,267084
76,115535,148699,1351,1034,2015-05-31,264234,2385,266619
77,104691,140245,1265,857,2015-05-31,244936,2122,247058
78,94188,127957,1155,846,2015-05-31,222145,2001,224146
79,88403,123728,1250,961,2015-05-31,212131,2211,214342
80,76962,106999,1121,713,2015-05-31,183961,1834,185795
81,72635,102325,1062,719,2015-05-31,174960,1781,176741
82,62897,91731,1018,654,2015-05-31,154628,1672,156300
83,56362,82706,1090,650,2015-05-31,139068,1740,140808
84,46076,71243,1155,644,2015-05-31,117319,1799,119118
85,41452,62841,1245,621,2015-05-31,104293,1866,106159
86,34283,53508,1240,648,2015-05-31,87791,1888,89679
87,31253,49423,1184,653,2015-05-31,80676,1837,82513
88,22969,37185,935,622,2015-05-31,60154,1557,61711
89,20258,32769,748,551,2015-05-31,53027,1299,54326
90,14988,24437,762,582,2015-05-31,39425,1344,40769
91,12373,19562,697,636,2015-05-31,31935,1333,33268
92,10683,16884,685,612,2015-05-31,27567,1297,28864
93,8358,12974,669,612,2015-05-31,21332,1281,22613
94,7489,11345,581,566,2015-05-31,18834,1147,19981
95,5467,8337,579,482,2015-05-31,13804,1061,14865
96,3388,5108,437,412,2015-05-31,8496,849,9345
97,3472,5176,483,364,2015-05-31,8648,847,9495
98,2802,4127,504,389,2015-05-31,6929,893,7822
99,2713,3871,538,292,2015-05-31,6584,830,7414
100,1908,2386,450,276,2015-05-31,4294,726,5020
101,10621,12942,4554,2204,2015-05-31,23563,6758,30321
0,350649,332506,23735,22375,2015-12-31,683155,46110,729265
1,375529,354135,24402,22992,2015-12-31,729664,47394,777058
2,383814,361587,21771,20577,2015-12-31,745401,42348,787749
3,410423,387629,17617,16216,2015-12-31,798052,33833,831885
4,402011,379219,12242,11498,2015-12-31,781230,23740,804970
5,387751,366804,8198,7851,2015-12-31,754555,16049,770604
6,399669,376835,6005,5457,2015-12-31,776504,11462,787966
7,402048,379485,4763,4390,2015-12-31,781533,9153,790686
8,410891,388208,3891,3707,2015-12-31,799099,7598,806697
9,407682,384336,4018,3770,2015-12-31,792018,7788,799806
10,412080,390496,4298,4174,2015-12-31,802576,8472,811048
11,417170,395329,6048,5814,2015-12-31,812499,11862,824361
12,406104,383697,6473,6253,2015-12-31,789801,12726,802527
13,407281,385634,5858,5732,2015-12-31,792915,11590,804505
14,408895,387233,6356,6005,2015-12-31,796128,12361,808489
15,430374,409583,6217,6189,2015-12-31,839957,12406,852363
16,430481,407696,6257,6019,2015-12-31,838177,12276,850453
17,458592,437078,6254,5841,2015-12-31,895670,12095,907765
18,496744,473045,6589,6093,2015-12-31,969789,12682,982471
19,507307,483256,6156,5875,2015-12-31,990563,12031,1002594
20,500655,479490,5495,5261,2015-12-31,980145,10756,990901
21,484408,462574,5242,5103,2015-12-31,946982,10345,957327
22,486499,467375,5243,5116,2015-12-31,953874,10359,964233
23,493858,475273,5151,5017,2015-12-31,969131,10168,979299
24,491336,472541,4378,4234,2015-12-31,963877,8612,972489
25,483725,467977,4227,4299,2015-12-31,951702,8526,960228
26,464040,448613,3812,4058,2015-12-31,912653,7870,920523
27,453624,439729,3846,4236,2015-12-31,893353,8082,901435
28,449937,440490,4122,4363,2015-12-31,890427,8485,898912
29,465427,455945,4284,4781,2015-12-31,921372,9065,930437
30,483631,475053,3970,4535,2015-12-31,958684,8505,967189
31,486741,479831,4178,4718,2015-12-31,966572,8896,975468
32,497354,492845,4301,5010,2015-12-31,990199,9311,999510
33,514272,511258,4594,5324,2015-12-31,1025530,9918,1035448
34,514197,511791,4792,5556,2015-12-31,1025988,10348,1036336
35,524987,522942,5037,5589,2015-12-31,1047929,10626,1058555
36,524998,526184,4762,5245,2015-12-31,1051182,10007,1061189
37,506815,511694,5133,5518,2015-12-31,1018509,10651,1029160
38,531585,539022,4689,4878,2015-12-31,1070607,9567,1080174
39,524079,535665,4780,5006,2015-12-31,1059744,9786,1069530
40,513924,527385,4508,4672,2015-12-31,1041309,9180,1050489
41,521751,539268,4444,4540,2015-12-31,1061019,8984,1070003
42,509842,530751,4929,4846,2015-12-31,1040593,9775,1050368
43,523965,550493,4560,4379,2015-12-31,1074458,8939,1083397
44,529535,562196,4505,4316,2015-12-31,1091731,8821,1100552
45,519074,550481,4489,4352,2015-12-31,1069555,8841,1078396
46,508567,545411,3830,3790,2015-12-31,1053978,7620,1061598
47,525006,566149,4539,4353,2015-12-31,1091155,8892,1100047
48,501862,540302,3724,3274,2015-12-31,1042164,6998,1049162
49,487764,532573,3611,3394,2015-12-31,1020337,7005,1027342
50,493730,539326,3608,3123,2015-12-31,1033056,6731,1039787
51,489127,539438,3381,2963,2015-12-31,1028565,6344,1034909
52,460349,503517,3671,3272,2015-12-31,963866,6943,970809
53,448528,489796,3370,2831,2015-12-31,938324,6201,944525
54,427286,469193,2985,2490,2015-12-31,896479,5475,901954
55,423331,472169,3452,2836,2015-12-31,895500,6288,901788
56,405304,450938,2943,2318,2015-12-31,856242,5261,861503
57,369579,416951,3166,2698,2015-12-31,786530,5864,792394
58,355325,402018,2913,2249,2015-12-31,757343,5162,762505
59,327712,368264,2873,2325,2015-12-31,695976,5198,701174
60,305004,346827,2619,1930,2015-12-31,651831,4549,656380
61,309200,358629,2441,1809,2015-12-31,667829,4250,672079
62,286346,332772,2590,1887,2015-12-31,619118,4477,623595
63,280167,325654,2448,1593,2015-12-31,605821,4041,609862
64,262487,307013,2161,1374,2015-12-31,569500,3535,573035
65,248645,293864,2453,1570,2015-12-31,542509,4023,546532
66,239529,285608,2137,1162,2015-12-31,525137,3299,528436
67,213416,252812,2271,1307,2015-12-31,466228,3578,469806
68,193503,230031,2017,1080,2015-12-31,423534,3097,426631
69,175966,211859,1888,1078,2015-12-31,387825,2966,390791
70,156117,191174,1797,1024,2015-12-31,347291,2821,350112
71,150404,181078,1789,994,2015-12-31,331482,2783,334265
72,139388,171178,1874,1050,2015-12-31,310566,2924,313490
73,132461,164651,1630,1040,2015-12-31,297112,2670,299782
74,130411,165495,1546,1019,2015-12-31,295906,2565,298471
75,114406,148123,1588,1121,2015-12-31,262529,2709,265238
76,115598,149653,1443,953,2015-12-31,265251,2396,267647
77,109653,144281,1399,1124,2015-12-31,253934,2523,256457
78,97476,132820,1279,929,2015-12-31,230296,2208,232504
79,89667,123670,1140,922,2015-12-31,213337,2062,215399
80,81077,115268,1283,1022,2015-12-31,196345,2305,198650
81,73404,102492,1135,765,2015-12-31,175896,1900,177796
82,66328,96547,1054,763,2015-12-31,162875,1817,164692
83,59771,87246,1028,687,2015-12-31,147017,1715,148732
84,49454,75389,1096,665,2015-12-31,124843,1761,126604
85,42679,65960,1144,674,2015-12-31,108639,1818,110457
86,36878,57320,1219,632,2015-12-31,94198,1851,96049
87,31821,50171,1246,654,2015-12-31,81992,1900,83892
88,26832,42994,1160,665,2015-12-31,69826,1825,71651
89,20713,33879,845,618,2015-12-31,54592,1463,56055
90,17466,28471,720,541,2015-12-31,45937,1261,47198
91,13040,21357,719,539,2015-12-31,34397,1258,35655
92,11192,17444,684,613,2015-12-31,28636,1297,29933
93,9127,14461,654,558,2015-12-31,23588,1212,24800
94,7639,11564,623,594,2015-12-31,19203,1217,20420
95,6437,9606,577,518,2015-12-31,16043,1095,17138
96,4485,6788,547,460,2015-12-31,11273,1007,12280
97,3199,4605,424,366,2015-12-31,7804,790,8594
98,3040,4440,458,336,2015-12-31,7480,794,8274
99,2673,3774,521,365,2015-12-31,6447,886,7333
100,2240,3142,486,278,2015-12-31,5382,764,6146
101,11269,13576,4826,2301,2015-12-31,24845,7127,31972
0,348727,330892,24059,22676,2016-05-31,679619,46735,726354
1,365638,345269,24128,22773,2016-05-31,710907,46901,757808
2,375416,354159,23341,22170,2016-05-31,729575,45511,775086
3,406445,383103,19647,18274,2016-05-31,789548,37921,827469
4,411255,387558,13836,12787,2016-05-31,798813,26623,825436
5,386319,365881,9768,9287,2016-05-31,752200,19055,771255
6,395779,373740,6648,6130,2016-05-31,769519,12778,782297
7,401001,378379,5233,4861,2016-05-31,779380,10094,789474
8,404542,382375,4064,3796,2016-05-31,786917,7860,794777
9,411554,388028,3934,3691,2016-05-31,799582,7625,807207
10,409148,386385,4216,3962,2016-05-31,795533,8178,803711
11,416639,395227,5135,5045,2016-05-31,811866,10180,822046
12,410371,388490,6512,6252,2016-05-31,798861,12764,811625
13,404682,382887,6042,5859,2016-05-31,787569,11901,799470
14,406369,385310,6328,6016,2016-05-31,791679,12344,804023
15,421242,400338,6285,6018,2016-05-31,821580,12303,833883
16,433676,411037,6164,6092,2016-05-31,844713,12256,856969
17,435661,414409,6334,6015,2016-05-31,850070,12349,862419
18,489773,467255,6428,6025,2016-05-31,957028,12453,969481
19,506041,482829,6551,5996,2016-05-31,988870,12547,1001417
20,499337,476846,5570,5378,2016-05-31,976183,10948,987131
21,492945,470607,5262,5127,2016-05-31,963552,10389,973941
22,482982,464667,5251,5140,2016-05-31,947649,10391,958040
23,486107,466600,5342,5080,2016-05-31,952707,10422,963129
24,494959,477020,4438,4392,2016-05-31,971979,8830,980809
25,487239,469514,4398,4423,2016-05-31,956753,8821,965574
26,470583,455967,3824,4004,2016-05-31,926550,7828,934378
27,462881,448523,3981,4350,2016-05-31,911404,8331,919735
28,440485,429766,3880,4140,2016-05-31,870251,8020,878271
29,457394,448593,4469,4855,2016-05-31,905987,9324,915311
30,476612,467759,4012,4570,2016-05-31,944371,8582,952953
31,487586,481090,4042,4539,2016-05-31,968676,8581,977257
32,485313,479297,4339,5110,2016-05-31,964610,9449,974059
33,507163,503836,4487,5189,2016-05-31,1010999,9676,1020675
34,519856,517291,4804,5520,2016-05-31,1037147,10324,1047471
35,517689,516359,5182,5832,2016-05-31,1034048,11014,1045062
36,522407,523722,4545,5026,2016-05-31,1046129,9571,1055700
37,514561,516826,5404,5915,2016-05-31,1031387,11319,1042706
38,509501,516964,4520,4644,2016-05-31,1026465,9164,1035629
39,536474,547945,4947,5294,2016-05-31,1084419,10241,1094660
40,509189,521657,4551,4644,2016-05-31,1030846,9195,1040041
41,522503,540017,4260,4472,2016-05-31,1062520,8732,1071252
42,515876,535311,5105,4940,2016-05-31,1051187,10045,1061232
43,507850,534556,4586,4427,2016-05-31,1042406,9013,1051419
44,523410,551814,4469,4252,2016-05-31,1075224,8721,1083945
45,535325,569139,4665,4608,2016-05-31,1104464,9273,1113737
46,507992,542983,3683,3607,2016-05-31,1050975,7290,1058265
47,512368,554556,4762,4583,2016-05-31,1066924,9345,1076269
48,520347,559815,3636,3211,2016-05-31,1080162,6847,1087009
49,481065,522437,3692,3477,2016-05-31,1003502,7169,1010671
50,498461,546334,3589,3168,2016-05-31,1044795,6757,1051552
51,490083,540619,3313,2885,2016-05-31,1030702,6198,1036900
52,466883,513782,3783,3326,2016-05-31,980665,7109,987774
53,450425,493325,3398,2838,2016-05-31,943750,6236,949986
54,444058,486902,3033,2491,2016-05-31,930960,5524,936484
55,415757,461022,3457,2921,2016-05-31,876779,6378,883157
56,419262,469449,2890,2182,2016-05-31,888711,5072,893783
57,386236,433975,3293,2847,2016-05-31,820211,6140,826351
58,357033,404508,2782,2185,2016-05-31,761541,4967,766508
59,337657,383382,3025,2404,2016-05-31,721039,5429,726468
60,326946,372488,2666,1993,2016-05-31,699434,4659,704093
61,318352,369480,2485,1753,2016-05-31,687832,4238,692070
62,290076,337002,2632,1927,2016-05-31,627078,4559,631637
63,283168,330443,2492,1590,2016-05-31,613611,4082,617693
64,267216,312842,2204,1405,2016-05-31,580058,3609,583667
65,250131,296083,2463,1567,2016-05-31,546214,4030,550244
66,241731,287942,2142,1146,2016-05-31,529673,3288,532961
67,218373,259478,2349,1366,2016-05-31,477851,3715,481566
68,194600,231800,2037,1037,2016-05-31,426400,3074,429474
69,180666,218272,1980,1122,2016-05-31,398938,3102,402040
70,157976,193454,1860,1038,2016-05-31,351430,2898,354328
71,148100,180579,1787,944,2016-05-31,328679,2731,331410
72,143705,174715,1946,1092,2016-05-31,318420,3038,321458
73,129199,162206,1700,1025,2016-05-31,291405,2725,294130
74,132631,168394,1546,1001,2016-05-31,301025,2547,303572
75,118793,151884,1570,1129,2016-05-31,270677,2699,273376
76,109850,144911,1445,916,2016-05-31,254761,2361,257122
77,109865,143532,1427,1122,2016-05-31,253397,2549,255946
78,99063,134861,1306,929,2016-05-31,233924,2235,236159
79,88721,122298,1185,927,2016-05-31,211019,2112,213131
80,83002,117659,1248,1009,2016-05-31,200661,2257,202918
81,71766,101078,1122,761,2016-05-31,172844,1883,174727
82,67116,96107,1066,754,2016-05-31,163223,1820,165043
83,57626,85646,1004,691,2016-05-31,143272,1695,144967
84,51447,76581,1060,655,2016-05-31,128028,1715,129743
85,41635,65568,1125,659,2016-05-31,107203,1784,108987
86,37277,57280,1195,621,2016-05-31,94557,1816,96373
87,30415,48252,1192,634,2016-05-31,78667,1826,80493
88,27665,43996,1113,635,2016-05-31,71661,1748,73409
89,20165,32713,874,616,2016-05-31,52878,1490,54368
90,17642,28591,702,525,2016-05-31,46233,1227,47460
91,12912,20984,712,517,2016-05-31,33896,1229,35125
92,10729,16696,638,578,2016-05-31,27425,1216,28641
93,9162,14235,641,551,2016-05-31,23397,1192,24589
94,7227,10888,628,553,2016-05-31,18115,1181,19296
95,6520,9501,548,504,2016-05-31,16021,1052,17073
96,4798,6899,549,440,2016-05-31,11697,989,12686
97,2971,4190,417,360,2016-05-31,7161,777,7938
98,3098,4285,461,320,2016-05-31,7383,781,8164
99,2545,3500,483,345,2016-05-31,6045,828,6873
100,2410,3226,504,265,2016-05-31,5636,769,6405
101,10530,12487,4514,2142,2016-05-31,23017,6656,29673
0,338514,319573,21868,20564,2016-12-31,658087,42432,700519
1,353970,335823,24478,23113,2016-12-31,689793,47591,737384
2,375651,354433,24481,23077,2016-12-31,730084,47558,777642
3,383897,361817,21813,20631,2016-12-31,745714,42444,788158
4,410512,387861,17678,16258,2016-12-31,798373,33936,832309
5,402119,379420,12300,11531,2016-12-31,781539,23831,805370
6,387850,367006,8268,7919,2016-12-31,754856,16187,771043
7,399822,377023,6093,5556,2016-12-31,776845,11649,788494
8,402204,379683,4894,4480,2016-12-31,781887,9374,791261
9,411056,388413,3975,3782,2016-12-31,799469,7757,807226
10,407871,384557,4050,3827,2016-12-31,792428,7877,800305
11,412245,390705,4294,4177,2016-12-31,802950,8471,811421
12,417327,395508,6009,5788,2016-12-31,812835,11797,824632
13,406136,383917,6476,6171,2016-12-31,790053,12647,802700
14,407186,385795,5843,5668,2016-12-31,792981,11511,804492
15,408713,387399,6249,5895,2016-12-31,796112,12144,808256
16,430040,409747,6109,6056,2016-12-31,839787,12165,851952
17,430049,407821,6115,5881,2016-12-31,837870,11996,849866
18,458096,437194,6121,5691,2016-12-31,895290,11812,907102
19,496190,473154,6418,5899,2016-12-31,969344,12317,981661
20,506602,483337,6038,5702,2016-12-31,989939,11740,1001679
21,499980,479472,5401,5163,2016-12-31,979452,10564,990016
22,483727,462534,5170,5007,2016-12-31,946261,10177,956438
23,485845,467350,5182,5038,2016-12-31,953195,10220,963415
24,493118,475236,5081,4964,2016-12-31,968354,10045,978399
25,490530,472425,4380,4243,2016-12-31,962955,8623,971578
26,482888,467856,4242,4318,2016-12-31,950744,8560,959304
27,463216,448465,3820,4090,2016-12-31,911681,7910,919591
28,452771,439529,3855,4270,2016-12-31,892300,8125,900425
29,449034,440283,4141,4419,2016-12-31,889317,8560,897877
30,464443,455715,4314,4817,2016-12-31,920158,9131,929289
31,482537,474760,4007,4585,2016-12-31,957297,8592,965889
32,485514,479478,4211,4751,2016-12-31,964992,8962,973954
33,496017,492478,4340,5053,2016-12-31,988495,9393,997888
34,512808,510800,4638,5364,2016-12-31,1023608,10002,1033610
35,512593,511254,4821,5601,2016-12-31,1023847,10422,1034269
36,523205,522298,5071,5614,2016-12-31,1045503,10685,1056188
37,523082,525497,4815,5266,2016-12-31,1048579,10081,1058660
38,504713,511015,5174,5536,2016-12-31,1015728,10710,1026438
39,529181,538185,4712,4883,2016-12-31,1067366,9595,1076961
40,521580,534810,4810,5005,2016-12-31,1056390,9815,1066205
41,511313,526398,4547,4679,2016-12-31,1037711,9226,1046937
42,518995,538292,4476,4526,2016-12-31,1057287,9002,1066289
43,506857,529671,4943,4858,2016-12-31,1036528,9801,1046329
44,520837,549267,4594,4387,2016-12-31,1070104,8981,1079085
45,526169,560849,4528,4324,2016-12-31,1087018,8852,1095870
46,515664,549030,4500,4352,2016-12-31,1064694,8852,1073546
47,505060,543836,3875,3787,2016-12-31,1048896,7662,1056558
48,521315,564447,4591,4318,2016-12-31,1085762,8909,1094671
49,498039,538633,3771,3255,2016-12-31,1036672,7026,1043698
50,483853,530659,3652,3378,2016-12-31,1014512,7030,1021542
51,489567,537359,3655,3110,2016-12-31,1026926,6765,1033691
52,484693,537253,3453,2953,2016-12-31,1021946,6406,1028352
53,455880,501305,3706,3262,2016-12-31,957185,6968,964153
54,443925,487542,3437,2826,2016-12-31,931467,6263,937730
55,422747,466912,3062,2466,2016-12-31,889659,5528,895187
56,418377,469690,3511,2829,2016-12-31,888067,6340,894407
57,400111,448335,2989,2300,2016-12-31,848446,5289,853735
58,364651,414359,3213,2687,2016-12-31,779010,5900,784910
59,350515,399482,2982,2220,2016-12-31,749997,5202,755199
60,322966,365668,2945,2315,2016-12-31,688634,5260,693894
61,300162,344130,2721,1916,2016-12-31,644292,4637,648929
62,304100,355547,2523,1786,2016-12-31,659647,4309,663956
63,281299,329666,2696,1877,2016-12-31,610965,4573,615538
64,274855,322312,2537,1571,2016-12-31,597167,4108,601275
65,257349,303633,2259,1365,2016-12-31,560982,3624,564606
66,243262,290197,2543,1563,2016-12-31,533459,4106,537565
67,233949,281848,2233,1163,2016-12-31,515797,3396,519193
68,208226,249021,2316,1281,2016-12-31,457247,3597,460844
69,188195,226216,2080,1067,2016-12-31,414411,3147,417558
70,170818,208152,1930,1057,2016-12-31,378970,2987,381957
71,151256,187299,1831,1010,2016-12-31,338555,2841,341396
72,145161,177237,1827,986,2016-12-31,322398,2813,325211
73,134408,167138,1845,1025,2016-12-31,301546,2870,304416
74,127249,160489,1611,1018,2016-12-31,287738,2629,290367
75,124990,160702,1513,993,2016-12-31,285692,2506,288198
76,109183,143369,1576,1081,2016-12-31,252552,2657,255209
77,109836,144549,1420,927,2016-12-31,254385,2347,256732
78,103839,138899,1344,1094,2016-12-31,242738,2438,245176
79,91792,127331,1231,889,2016-12-31,219123,2120,221243
80,84030,117850,1086,893,2016-12-31,201880,1979,203859
81,75591,109093,1218,991,2016-12-31,184684,2209,186893
82,67878,96355,1083,738,2016-12-31,164233,1821,166054
83,60917,90193,992,726,2016-12-31,151110,1718,152828
84,54521,81081,971,652,2016-12-31,135602,1623,137225
85,44767,69378,1028,628,2016-12-31,114145,1656,115801
86,38462,60194,1061,636,2016-12-31,98656,1697,100353
87,32853,51870,1126,596,2016-12-31,84723,1722,86445
88,28108,44846,1153,615,2016-12-31,72954,1768,74722
89,23671,38196,1052,602,2016-12-31,61867,1654,63521
90,18076,29591,775,574,2016-12-31,47667,1349,49016
91,15110,24628,678,495,2016-12-31,39738,1173,40911
92,11146,18175,658,487,2016-12-31,29321,1145,30466
93,9631,14691,630,539,2016-12-31,24322,1169,25491
94,7840,12080,601,499,2016-12-31,19920,1100,21020
95,6608,9662,578,530,2016-12-31,16270,1108,17378
96,5634,8016,546,448,2016-12-31,13650,994,14644
97,3958,5618,517,396,2016-12-31,9576,913,10489
98,2828,3765,402,323,2016-12-31,6593,725,7318
99,2727,3676,431,303,2016-12-31,6403,734,7137
100,2466,3242,498,321,2016-12-31,5708,819,6527
101,2588,4501,711,469,2016-12-31,7089,1180,8269
0,336478,317202,20305,18942,2017-05-31,653680,39247,692927
1,351719,333984,24719,23292,2017-05-31,685703,48011,733714
2,365726,345539,24192,22821,2017-05-31,711265,47013,758278
3,375532,354389,23383,22209,2017-05-31,729921,45592,775513
4,406584,383331,19686,18310,2017-05-31,789915,37996,827911
5,411324,387796,13873,12801,2017-05-31,799120,26674,825794
6,386457,366077,9830,9357,2017-05-31,752534,19187,771721
7,395940,373941,6793,6284,2017-05-31,769881,13077,782958
8,401217,378621,5368,5006,2017-05-31,779838,10374,790212
9,404777,382641,4231,3913,2017-05-31,787418,8144,795562
10,411780,388292,4044,3812,2017-05-31,800072,7856,807928
11,409373,386689,4303,4000,2017-05-31,796062,8303,804365
12,416834,395473,5140,5062,2017-05-31,812307,10202,822509
13,410456,388713,6533,6229,2017-05-31,799169,12762,811931
14,404663,383104,5992,5830,2017-05-31,787767,11822,799589
15,406234,385527,6235,5854,2017-05-31,791761,12089,803850
16,420990,400551,6121,5906,2017-05-31,821541,12027,833568
17,433311,411213,6028,5938,2017-05-31,844524,11966,856490
18,435192,414553,6219,5877,2017-05-31,849745,12096,861841
